# service	image	repository_digest	source_image_id	architecture	source_created_at
postgres	supabase/postgres:15.1.1.28@sha256:33b96010b760e41a987542c8c043369022a16b16cd88941790d5fcf06cd2484c	supabase/postgres@sha256:33b96010b760e41a987542c8c043369022a16b16cd88941790d5fcf06cd2484c	sha256:6e55dc7f989f8c309ef32d0d54f8110107135710332ae06728cbdd7602feae75	amd64	2024-03-21T08:31:51.589229798Z
auth	supabase/gotrue:v2.143.0@sha256:f0a7d58bdae384cff916206a8a86e3d370b89b8a99c97ac91a3711169791554e	supabase/gotrue@sha256:f0a7d58bdae384cff916206a8a86e3d370b89b8a99c97ac91a3711169791554e	sha256:5644f71ed8779e88b34dee7b5602f66719ea6b1bb61bf0e5a9451aeb7e4ff528	amd64	2024-02-19T16:47:05.383831512Z
rest	postgrest/postgrest:v12.0.2@sha256:79369c0cdf9d7112ed4e327bc1b80156be11575dd66fbda245077a2d13b803bc	postgrest/postgrest@sha256:79369c0cdf9d7112ed4e327bc1b80156be11575dd66fbda245077a2d13b803bc	sha256:74c4ff0f70a6f0fc8d5c09500c3817b6cc3a43f16e484c9a8e6cc6b3de11c846	amd64	2023-03-25T20:44:46Z
storage	supabase/storage-api:v0.46.4@sha256:3aed9cc6df7c0e8060d1bf7dafc15edb085e68cc158a3dbe966be6ca5ac0d726	supabase/storage-api@sha256:3aed9cc6df7c0e8060d1bf7dafc15edb085e68cc158a3dbe966be6ca5ac0d726	sha256:65801708077dc189279bc4fd868a937a738cda5fa72b0df9c89042e5d9388fc5	amd64	2024-01-25T08:49:49.816222496Z
realtime	supabase/realtime:v2.33.66@sha256:01bb0007a31c9c069a3ef62a39977ed8c231e7685cea61f0d2c250b4e94715ae	supabase/realtime@sha256:01bb0007a31c9c069a3ef62a39977ed8c231e7685cea61f0d2c250b4e94715ae	sha256:a6af104cb672528e7ef1b3acebcd29620d8affac2eb6f9e190147b8bcdaabcef	amd64	2024-12-09T21:52:32.27662512Z
kong	kong:2.8.1@sha256:1b53405d8680a09d6f44494b7990bf7da2ea43f84a258c59717d4539abf09f6d	kong@sha256:1b53405d8680a09d6f44494b7990bf7da2ea43f84a258c59717d4539abf09f6d	sha256:3cefb958bcd694597b65adc00053a762b1f9a6df3c6031af528d052d75a64e1a	amd64	2022-10-06T23:01:18.945723521Z
meta	supabase/postgres-meta:v0.84.2@sha256:d0a96973e9f1b6303f7500421a459af3d7273b3f9f1db38610899f9f573da7c7	supabase/postgres-meta@sha256:d0a96973e9f1b6303f7500421a459af3d7273b3f9f1db38610899f9f573da7c7	sha256:d5d7355804d5dde06d7cdcc5963f4a7326d3ea369fa903018f63f034f7a43e20	amd64	2024-10-19T08:35:28.738864103Z
studio	supabase/studio@sha256:5f7a6900725d658edddf1b7639826be7d5369559751c9e9b020d128f0f060b42	supabase/studio@sha256:5f7a6900725d658edddf1b7639826be7d5369559751c9e9b020d128f0f060b42	sha256:d18f63511a2f08050d34d0997ce9517dc2d4894f01012f0c204aa61394fe7f2e	amd64	2026-01-12T04:28:58.155099122Z
nginx	nginx@sha256:b0f7830b6bfaa1258f45d94c240ab668ced1b3651c8a222aefe6683447c7bf55	nginx@sha256:b0f7830b6bfaa1258f45d94c240ab668ced1b3651c8a222aefe6683447c7bf55	sha256:004f022f4ef5da74ce61b1dddd7a3b84e93c151a1af058f3a8e20246da9b895b	amd64	2026-01-14T00:44:16.185370763Z
tunnel	cloudflare/cloudflared@sha256:6d91c121b803126f7a5344005d17a9324788fc09d305b6e2560ec6040a7ae283	cloudflare/cloudflared@sha256:6d91c121b803126f7a5344005d17a9324788fc09d305b6e2560ec6040a7ae283	sha256:8bfc590db21aaa8c4a2848635b53801dcba6a966cdcdac2e2fe467d3365faedc	amd64	2026-06-18T14:46:40.583142328Z
